id,method_id,role_id,created_at,updated_at
1,4,1,,
2,4,2,,
3,4,3,,
4,4,4,,
5,4,5,,
6,4,6,,
7,1,10,,
8,1,11,,
9,1,12,,
10,1,13,,
11,1,14,,
12,1,15,,
13,1,16,,
14,1,17,,
15,1,18,,
17,2,10,,
18,2,11,,
19,2,12,,
20,2,13,,
21,2,14,,
22,2,15,,
23,2,16,,
24,2,17,,
25,2,18,,
27,3,10,,
28,3,11,,
29,3,12,,
30,3,13,,
31,3,14,,
32,3,15,,
33,3,16,,
34,3,17,,
35,3,18,,
36,1,19,,
37,1,20,,
38,1,21,,
39,1,22,,
40,1,23,,
41,1,24,,
42,1,25,,
43,1,26,,
44,1,27,,
45,2,19,,
46,2,20,,
47,2,21,,
48,2,22,,
49,2,23,,
50,2,24,,
51,2,25,,
52,2,26,,
53,2,27,,
54,3,19,,
55,3,20,,
56,3,21,,
57,3,22,,
58,3,23,,
59,3,24,,
60,3,25,,
61,3,26,,
62,3,27,,